https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1643245200000,2022-01-27 01:00:00,AXS/USDT,48.88888888,48.88888888,48.48888888,48.48888888,62.84858966,1.29614415,0,0,0,0
1643241600000,2022-01-27 00:00:00,AXS/USDT,48.88888888,48.88888888,48.88888888,48.88888888,0,0,0,0,0,0
1643238000000,2022-01-26 23:00:00,AXS/USDT,48.88888888,48.88888888,48.88888888,48.88888888,0,0,0,0,0,0
1643234400000,2022-01-26 22:00:00,AXS/USDT,48.88888888,48.88888888,48.88888888,48.88888888,9.77777777,0.2,0,0,0,0
1643230800000,2022-01-26 21:00:00,AXS/USDT,50,50,49.78610196,49.78610196,13.79287065,0.27636631,0,0,0,0
1643227200000,2022-01-26 20:00:00,AXS/USDT,50.98926822,50.98926822,50.98926822,50.98926822,2.66487405,0.05226343,0,0,0,0
1643223600000,2022-01-26 19:00:00,AXS/USDT,54.96833947,54.96833947,54.51501199,54.52046349,312.50832714,5.73125437,0,0,0,0
1643220000000,2022-01-26 18:00:00,AXS/USDT,52.77353167,52.77353167,52.77353167,52.77353167,5.93775164,0.11251382,0,0,0,0
1643216400000,2022-01-26 17:00:00,AXS/USDT,53.48787444,53.57904903,53.48787444,53.57904903,1.18367906,0.0220922,0,0,0,0
1643212800000,2022-01-26 16:00:00,AXS/USDT,53.48787444,53.48787444,53.48787444,53.48787444,0,0,0,0,0,0
1643209200000,2022-01-26 15:00:00,AXS/USDT,54.44571942,54.44571942,53.48787444,53.48787444,24.31234004,0.45257327,0,0,0,0
1643205600000,2022-01-26 14:00:00,AXS/USDT,54.67164052,54.87915956,54.67164052,54.70204133,439.45056243,8.03309613,0,0,0,0
1643202000000,2022-01-26 13:00:00,AXS/USDT,52.96509023,53.91750957,52.50283381,53.91750957,803.98752695,15.17927551,0,0,0,0
1643198400000,2022-01-26 12:00:00,AXS/USDT,52.20332141,53.30096444,52.20332141,53.30096444,165.32496845,3.1121395,0,0,0,0
1643194800000,2022-01-26 11:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,0,0,0,0,0,0
1643191200000,2022-01-26 10:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,0,0,0,0,0,0
1643187600000,2022-01-26 09:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,0,0,0,0,0,0
1643184000000,2022-01-26 08:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,0,0,0,0,0,0
1643180400000,2022-01-26 07:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,0,0,0,0,0,0
1643176800000,2022-01-26 06:00:00,AXS/USDT,52.20332141,52.20332141,52.20332141,52.20332141,1.0100001,0.01934743,0,0,0,0
1643173200000,2022-01-26 05:00:00,AXS/USDT,52.18607348,52.72537781,52.18607348,52.72537781,4.39999973,0.08345127,0,0,0,0
1643169600000,2022-01-26 04:00:00,AXS/USDT,51.85615502,52.20332141,51.85306615,52.20332141,19.48079247,0.37469196,0,0,0,0
1643166000000,2022-01-26 03:00:00,AXS/USDT,52.25143102,52.25143102,51.85306615,51.85306615,10.46670007,0.20185306,0,0,0,0
1643162400000,2022-01-26 02:00:00,AXS/USDT,51.57185919,52.25143102,51.57185919,52.25143102,5.94134353,0.11370681,0,0,0,0
1643158800000,2022-01-26 01:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643155200000,2022-01-26 00:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643151600000,2022-01-25 23:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643148000000,2022-01-25 22:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643144400000,2022-01-25 21:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643140800000,2022-01-25 20:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643137200000,2022-01-25 19:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,0,0,0,0,0,0
1643133600000,2022-01-25 18:00:00,AXS/USDT,51.57185919,51.57185919,51.57185919,51.57185919,14.99999963,0.29085629,0,0,0,0
1643130000000,2022-01-25 17:00:00,AXS/USDT,50.12163268,50.12163268,50.12163268,50.12163268,20.06973874,0.40042069,0,0,0,0
1643126400000,2022-01-25 16:00:00,AXS/USDT,50.12163268,50.12163268,50.12163268,50.12163268,50.04394414,0.99845,0,0,0,0
1643122800000,2022-01-25 15:00:00,AXS/USDT,50.46262023,50.46262023,50.46262023,50.46262023,0,0,0,0,0,0
1643119200000,2022-01-25 14:00:00,AXS/USDT,48,50.46262023,48,50.46262023,1.26627164,0.02509326,0,0,0,0
1643115600000,2022-01-25 13:00:00,AXS/USDT,50.55606373,50.55606373,48,48,53.68731604,1.11242192,0,0,0,0
1643112000000,2022-01-25 12:00:00,AXS/USDT,51,51,51,51,0,0,0,0,0,0
1643108400000,2022-01-25 11:00:00,AXS/USDT,50.9942698,51,50.9942698,51,51,1,0,0,0,0
1643104800000,2022-01-25 10:00:00,AXS/USDT,51.49801005,51.49801005,50.9942698,50.9942698,511.23003804,10.02499786,0,0,0,0
1643101200000,2022-01-25 09:00:00,AXS/USDT,50.80901308,50.80901308,49.91778862,49.91778862,0,0,0,0,0,0
1643097600000,2022-01-25 08:00:00,AXS/USDT,50.80901308,50.80901308,49.91778862,49.91778862,0,0,0,0,0,0
1643094000000,2022-01-25 07:00:00,AXS/USDT,50.80901308,50.80901308,49.91778862,49.91778862,0,0,0,0,0,0
1643090400000,2022-01-25 06:00:00,AXS/USDT,50.80901308,50.80901308,49.91778862,49.91778862,0,0,0,0,0,0
1643086800000,2022-01-25 05:00:00,AXS/USDT,50.18860719,50.80901308,49.91778862,49.91778862,2116.70756872,41.81489851,0,0,0,0
1643083200000,2022-01-25 04:00:00,AXS/USDT,50.95178715,50.95178715,50.95178715,50.95178715,0,0,0,0,0,0
1643079600000,2022-01-25 03:00:00,AXS/USDT,50.95178715,50.95178715,50.95178715,50.95178715,0,0,0,0,0,0
1643076000000,2022-01-25 02:00:00,AXS/USDT,50.95178715,50.95178715,50.95178715,50.95178715,0,0,0,0,0,0
1643072400000,2022-01-25 01:00:00,AXS/USDT,50.95178715,50.95178715,50.95178715,50.95178715,0,0,0,0,0,0
1643068800000,2022-01-25 00:00:00,AXS/USDT,50.95178715,50.95178715,50.95178715,50.95178715,0,0,0,0,0,0
1643065200000,2022-01-24 23:00:00,AXS/USDT,50.14059952,50.95178715,50,50.95178715,5.77236974,0.11329082,0,0,0,0
1643061600000,2022-01-24 22:00:00,AXS/USDT,51.07257961,51.7645273,50,50,1509.85359364,30.1503221,0,0,0,0
1643058000000,2022-01-24 21:00:00,AXS/USDT,50.94283701,51.63053578,50.94283701,51.63053578,9.89039903,0.19333482,0,0,0,0
1643054400000,2022-01-24 20:00:00,AXS/USDT,48.23238897,50.92514235,48.23238897,50.92514235,1.34230119,0.02635832,0,0,0,0
1643050800000,2022-01-24 19:00:00,AXS/USDT,48.23238897,49.57416081,48.23238897,49.57416081,0,0,0,0,0,0
1643047200000,2022-01-24 18:00:00,AXS/USDT,48.23238897,49.57416081,48.23238897,49.57416081,100.11291007,2.02039575,0,0,0,0
1643043600000,2022-01-24 17:00:00,AXS/USDT,46.83989414,46.83989414,46.83989414,46.83989414,0,0,0,0,0,0
1643040000000,2022-01-24 16:00:00,AXS/USDT,46.83989414,46.83989414,46.83989414,46.83989414,0,0,0,0,0,0
1643036400000,2022-01-24 15:00:00,AXS/USDT,44.51833083,46.83989414,44.51833083,46.83989414,1.08121792,0.02308327,0,0,0,0
1643032800000,2022-01-24 14:00:00,AXS/USDT,44.51833083,45.76276753,44.51833083,45.76276753,50.63863014,1.10952483,0,0,0,0
1643029200000,2022-01-24 13:00:00,AXS/USDT,44.987654,44.987654,44.987654,44.987654,4.71312167,0.10476478,0,0,0,0
1643025600000,2022-01-24 12:00:00,AXS/USDT,45.74891966,45.74891966,44.987654,44.987654,30.64948213,0.67797041,0,0,0,0
1643022000000,2022-01-24 11:00:00,AXS/USDT,45.74891966,46.33774544,45.74891966,46.33774544,11.12434948,0.24149966,0,0,0,0
1643018400000,2022-01-24 10:00:00,AXS/USDT,47.79769647,47.79769647,45.74891966,45.74891966,226.45801505,4.77536613,0,0,0,0
1643014800000,2022-01-24 09:00:00,AXS/USDT,49.21795256,49.21795256,49.21795256,49.21795256,1.56776749,0.03185357,0,0,0,0
1643011200000,2022-01-24 08:00:00,AXS/USDT,51.11132288,51.11132288,49.92543627,49.92543627,142.24244115,2.84909761,0,0,0,0
1643007600000,2022-01-24 07:00:00,AXS/USDT,53.74891966,53.74891966,51.11132288,51.11132288,1.47994879,0.0289554,0,0,0,0
1643004000000,2022-01-24 06:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,0,0,0,0,0,0
1643000400000,2022-01-24 05:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,0,0,0,0,0,0
1642996800000,2022-01-24 04:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,0,0,0,0,0,0
1642993200000,2022-01-24 03:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,0,0,0,0,0,0
