https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1582243200000,2020-02-21 00:00:00,LSK/USDT,1.57532559,1.65,1.48155829,1.509,11538.15725476,7472.95496608,0,0,0,1.54398859
1582156800000,2020-02-20 00:00:00,LSK/USDT,1.65934845,1.73980145,1.53100002,1.5753511,11335.65075117,7043.77977589,0,0,0,1.60931362
1582070400000,2020-02-19 00:00:00,LSK/USDT,1.82999966,1.88,1.60679982,1.66214106,18054.38003616,10350.04396507,0,0,0,1.74437713
1581984000000,2020-02-18 00:00:00,LSK/USDT,1.77799999,1.83110929,1.6801104,1.82999966,26228.94158095,14713.85598907,0,0,0,1.78260148
1581897600000,2020-02-17 00:00:00,LSK/USDT,1.89561,1.89561,1.60125,1.77799921,24767.22267547,14230.65226238,0,0,0,1.74041373
1581811200000,2020-02-16 00:00:00,LSK/USDT,1.81744,1.985,1.7387,1.85643,51177.44372393,27752.81445188,0,0,0,1.84404518
1581724800000,2020-02-15 00:00:00,LSK/USDT,1.90999998,2,1.73,1.8174633,47610.30009927,25065.04345219,0,0,0,1.89947008
1581638400000,2020-02-14 00:00:00,LSK/USDT,1.78000136,1.975,1.76511662,1.88000043,45021.42849594,23349.77696156,0,0,0,1.92813098
1581552000000,2020-02-13 00:00:00,LSK/USDT,1.96424904,1.9999998,1.71325468,1.76001865,112408.07663011,60687.84741093,0,0,0,1.8522337
1581465600000,2020-02-12 00:00:00,LSK/USDT,2.060014,2.12399996,1.89117431,1.99999989,100219.86215275,50413.22009283,0,0,0,1.98796787
1581379200000,2020-02-11 00:00:00,LSK/USDT,2.19,2.3,1.9,2.12399997,115518.55438823,54518.8248923,0,0,0,2.11887462
1581292800000,2020-02-10 00:00:00,LSK/USDT,2.06725104,2.77639,2.00003634,2.19,143095.9081339,61047.12477852,0,0,0,2.34402371
1581206400000,2020-02-09 00:00:00,LSK/USDT,1.74999996,2.19776828,1.62001122,2.09725103,101120.27727295,53288.913903,0,0,0,1.89758563
1581120000000,2020-02-08 00:00:00,LSK/USDT,1.49542857,1.8,1.37447669,1.74999999,35413.0624935,22143.58038088,0,0,0,1.59924736
1581033600000,2020-02-07 00:00:00,LSK/USDT,1.37014983,1.5,1.34118736,1.46057514,13164.51234669,9234.13502752,0,0,0,1.42563567
1580947200000,2020-02-06 00:00:00,LSK/USDT,1.41399994,1.492,1.28100001,1.37056773,19201.21372023,13923.9048492,0,0,0,1.37901069
1580860800000,2020-02-05 00:00:00,LSK/USDT,1.14985582,1.54999999,1.146,1.437,25428.77243685,18234.59158156,0,0,0,1.39453479
1580774400000,2020-02-04 00:00:00,LSK/USDT,1.04030679,1.29647385,1.04030679,1.21978136,9107.6911511,7802.21115284,0,0,0,1.16732179
1580688000000,2020-02-03 00:00:00,LSK/USDT,1.013054,1.10999999,1,1.07197478,3451.89815724,3327.6005689,0,0,0,1.03735351
1580601600000,2020-02-02 00:00:00,LSK/USDT,1.02995001,1.07200002,0.9594,0.98061289,10885.97649195,10606.55197299,0,0,0,1.02634451
1580515200000,2020-02-01 00:00:00,LSK/USDT,1.04,1.04285714,1,1.042806,13156.70521107,13016.793754,0,0,0,1.01074853
1580428800000,2020-01-31 00:00:00,LSK/USDT,1.14090909,1.14090909,0.989974,1.01428691,10980.25410295,10508.41052052,0,0,0,1.04490151
1580342400000,2020-01-30 00:00:00,LSK/USDT,0.88571428,1.14514293,0.875,1.14514291,15793.21905236,15498.28068657,0,0,0,1.01903039
1580256000000,2020-01-29 00:00:00,LSK/USDT,0.82227272,0.89999997,0.81590909,0.88928571,4586.67227982,5363.61703887,0,0,0,0.85514537
1580169600000,2020-01-28 00:00:00,LSK/USDT,0.7752907,0.82863636,0.75484574,0.82227278,3090.979917,3877.36957381,0,0,0,0.79718475
1580083200000,2020-01-27 00:00:00,LSK/USDT,0.78966524,0.842,0.767,0.767,3780.97424607,4727.24519451,0,0,0,0.79982613
1579996800000,2020-01-26 00:00:00,LSK/USDT,0.7826755,0.848054,0.76778999,0.78966524,2162.16538965,2731.86278039,0,0,0,0.79146193
1579910400000,2020-01-25 00:00:00,LSK/USDT,0.75989659,0.84809424,0.72662206,0.7826755,2105.57649862,2790.59427773,0,0,0,0.7545262
1579824000000,2020-01-24 00:00:00,LSK/USDT,0.76866214,0.85,0.73362874,0.75815342,3830.78794059,4751.84923383,0,0,0,0.80616782
1579737600000,2020-01-23 00:00:00,LSK/USDT,0.733598,0.77566882,0.69158866,0.76165546,3008.72145136,4148.33247683,0,0,0,0.72528454
1579651200000,2020-01-22 00:00:00,LSK/USDT,0.719517,0.744,0.7126087,0.73359772,619.07234209,848.06677285,0,0,0,0.72998065
1579564800000,2020-01-21 00:00:00,LSK/USDT,0.69158866,0.7126087,0.68458198,0.7126,630.40529759,903.28295095,0,0,0,0.69790456
1579478400000,2020-01-20 00:00:00,LSK/USDT,0.707628,0.70778,0.675,0.6775753,939.74413873,1378.8309505,0,0,0,0.68155138
1579392000000,2020-01-19 00:00:00,LSK/USDT,0.72319743,0.725,0.66635459,0.67500001,7939.25782115,11346.32775184,0,0,0,0.69972047
1579305600000,2020-01-18 00:00:00,LSK/USDT,0.78999999,0.79999948,0.70119997,0.72326955,3188.2139558,4171.26404292,0,0,0,0.76432801
1579219200000,2020-01-17 00:00:00,LSK/USDT,0.68680626,0.815275,0.67368947,0.78999999,4986.0751914,6612.83515081,0,0,0,0.75399962
1579132800000,2020-01-16 00:00:00,LSK/USDT,0.72899433,0.72899437,0.6425,0.64641594,2336.97950149,3506.21052185,0,0,0,0.66652572
1579046400000,2020-01-15 00:00:00,LSK/USDT,0.64762256,0.72988996,0.64100002,0.67118311,6870.0026852,10199.75026681,0,0,0,0.67354616
1578960000000,2020-01-14 00:00:00,LSK/USDT,0.60016712,0.67998999,0.60016712,0.65100005,9301.48253151,14501.07361333,0,0,0,0.64143406
1578873600000,2020-01-13 00:00:00,LSK/USDT,0.60442298,0.62628306,0.59647482,0.61362246,4056.09777524,6656.09048054,0,0,0,0.6093814
1578787200000,2020-01-12 00:00:00,LSK/USDT,0.61091499,0.62,0.59862389,0.613,430.51074846,705.40225339,0,0,0,0.61030532
1578700800000,2020-01-11 00:00:00,LSK/USDT,0.63283753,0.66182899,0.59934141,0.61367907,1624.56414333,2602.21165037,0,0,0,0.62430131
1578614400000,2020-01-10 00:00:00,LSK/USDT,0.68999999,0.74999,0.61199999,0.62109414,11230.0108786,17362.29612712,0,0,0,0.64680447
1578528000000,2020-01-09 00:00:00,LSK/USDT,0.57830959,0.768012,0.57250772,0.66,8227.17106414,12982.54222978,0,0,0,0.63371032
1578441600000,2020-01-08 00:00:00,LSK/USDT,0.5699989,0.58999999,0.5447028,0.54475005,3250.30811223,5671.16983838,0,0,0,0.57312833
1578355200000,2020-01-07 00:00:00,LSK/USDT,0.59395717,0.59929898,0.5699989,0.58999995,836.46664517,1435.75608728,0,0,0,0.58259662
